"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200066728","CC Vallées de l'Orne et de l'Odon","1_1","0_0","1_0","0_1"
"200066744","CC Haute-Corrèze Communauté",,,"1_1",
"200066751","CC Xaintrie Val'dordogne",,,"1_1","0_0"
"200066769","CC Midi Corrézien",,,"1_1","0_0"
"200066777","CC Ploërmel Communauté",,,"1_1",
"200066785","CC de l'Oust à Brocéliande Communauté",,"1_1",,
"200066793","CA du Grand Annecy",,,,
"200066801","CC Isigny-Omaha Intercom",,"1_1",,
"200066819","CC du Volvestre",,,,
"200066827","CC du Pays de Honfleur-Beuzeville",,,,
"200066835","CC de Sézanne-Sud Ouest Marnais",,,,
"200066850","CC des Paysages de la Champagne",,,,
"200066868","CC Presqu'île de Crozon-Aulne Maritime",,,"1_1","0_0"
"200066876","CA de Châlons-en-Champagne",,,,"0_1"
"200066884","CC Quercy Vert-Aveyron",,,,
"200066892","CC de Vendeuvre-Soulaines","0_0",,,"0_1"
"200066918","CA Alès Agglomération",,,,
"200066926","CA Grand Auch Coeur de Gascogne",,,,
"200066975","CC Senlis Sud Oise","1_1",,"1_0","0_1"
"200067023","CC Coutances Mer et Bocage",,,"1_1",
"200067031","CC Côte Ouest Centre Manche",,,,"0_0"
"200067049","CC Spelunca-Liamone",,,,
"200067064","CC Decazeville Communauté",,,"0_1",
"200067072","CC Haut-Léon Communauté",,,"1_1","0_0"
"200067080","CC Chablis, Villages et Terroirs",,"1_1",,"0_0"
"200067106","CA du Pays Basque",,,,
"200067114","CA de l'Auxerrois",,,,
"200067122","CC Coteaux et Plaines du Pays Lafrançaisain",,,,
"200067130","CC de Puisaye-Forterre",,,"1_1","0_0"
"200067155","CC Saint Affricain, Roquefort, Sept Vallons",,,,
"200067163","CC Monts, Rance et Rougier",,"1_0","1_1",
"200067171","CC Aubrac, Carladez et Viadène",,,,"0_0"
"200067189","CC Creuse Sud Ouest",,,"1_1","0_0"
"200067197","CC Monts d'Arrée Communauté",,,"1_1",
"200067205","CA du Cotentin",,,,"0_1"
"200067213","CU du Grand Reims","0_1",,,"1_1"
"200067221","CC Centre Morbihan Communauté",,,,
"200067239","CC des Luys en Béarn",,"1_0",,"0_1"
"200067247","CC Pleyben-Châteaulin-Porzay",,,,
"200067254","CA Pau Béarn Pyrénées",,,,"1_1"
"200067262","CC du Haut-Béarn",,,,"0_0"
"200067288","CC du Béarn des Gaves",,,"1_1","0_0"
"200067296","CC du Nord Est Béarn",,,,"0_1"
"200067304","CC Serein et Armance",,"1_1",,"0_0"
"200067320","CC Serre-Ponçon Val d'Avance","0_0",,"0_0",
"200067346","CA Pornic Agglo Pays de Retz",,,"1_1",
"200067361","CC Grand-Figeac",,,,
"200067379","CC Côtes de Champagne et Val de Saulx",,"0_1",,
"200067429","CC Haut Nivernais-Val d'Yonne",,,,
"200067437","CA Provence-Alpes-Agglomération",,,,"0_1"
"200067445","CC Buëch-Dévoluy",,"1_0",,"0_0"
"200067452","CC du Guillestrois et du Queyras",,"0_0",,"0_0"
"200067460","CC Loudéac Communauté - Bretagne Centre",,"1_1","0_1",
"200067478","CC Comtal Lot et Truyère",,,,"0_0"
"200067486","CC Bouzonvillois-Trois Frontières",,,"0_0",
"200067502","CA Saint-Avold Synergie",,"1_1",,"0_1"
"200067510","CC Monts et Vallées Ouest Creuse",,,,"0_0"
"200067544","CC Creuse Confluence",,,"1_1","0_0"
"200067551","CA Thonon Agglomération",,,,
"200067593","CC Chénérailles, Auzances/Bellegarde et Haut Pays Marchois",,,"1_1","0_0"
"200067627","CC Billom Communauté","1_1",,,
"200067635","CA Clisson Sèvre et Maine Agglo",,,,"0_1"
"200067643","CC Meurthe, Mortagne, Moselle",,,"1_0","0_1"
"200067650","CC Houve-Pays Boulageois",,,"0_0",
"200067668","CC de la Cléry, du Betz et de l'Ouanne",,"1_1",,"0_0"
"200067676","CC Canaux et Forêts en Gâtinais",,,,
"200067684","CA Épernay, Coteaux et Plaine de Champagne",,"1_1",,
"200067692","CC Tannay-Brinon-Corbigny",,"0_0","1_1","0_0"
"200067700","CC Sud Nivernais",,,,"0_0"
"200067742","CC Serre-Ponçon",,,"1_1",
"200067759","CC Vallées et Plateau d'Ardenne",,,,"0_1"
"200067767","CC du Royans-Vercors",,,,"0_0"
"200067783","CC de Hanau-la Petite Pierre",,,,"0_0"
"200067791","CA Pays Foix-Varilhes",,,,"0_0"
"200067817","CC Saône-Beaujolais",,,,"0_1"
"200067825","CA Gap-Tallard-Durance",,,,"0_1"
"200067841","CC de l'Alsace Bossue",,,,"0_0"
"200067866","CC Sèvre et Loire",,,,"0_1"
"200067874","CA de Haguenau",,,,
"200067882","CC Bazois Loire Morvan","1_0","0_0","1_1",
"200067890","CC Morvan Sommets et Grands Lacs",,"1_0",,
"200067908","CC Amognes Coeur du Nivernais",,,,"0_0"
"200067916","CC Loire, Vignobles et Nohain",,,,
"200067924","CC du Canton d'Erstein",,,,
"200067932","CA Golfe du Morbihan - Vannes Agglomération",,,,
"200067940","CC Couserans-Pyrénées",,,"1_1","0_0"
"200067957","CC Haut Chemin-Pays de Pange","1_1",,,"0_1"
"200067965","CA de la Région de Compiègne et de la Basse Automne","0_1",,,"1_1"
"200067973","CC Thelloise",,,"0_0","0_1"
"200067981","CA Guingamp-Paimpol Armor-Argoat Agglomération",,,,
"200067999","CA du Beauvaisis",,,,"0_1"
"200068005","CC de l'Oise Picarde",,,,"0_1"
"200068047","CA Creil Sud Oise",,,,
"200068070","CC Loue-Lison",,,,
"200068088","CC Loire, Nièvre et Bertranges",,,,"0_0"
"200068096","CC Champsaur-Valgaudemar",,"0_0",,"0_0"
"200068104","CA de la Provence Verte",,,,"0_1"
"200068112","CC du Pays de Saverne",,,,
"200068120","CA Quimper Bretagne Occidentale",,,,
"200068146","CC Sarrebourg Moselle Sud",,,,
"200068229","CC des Baronnies en Drôme Provençale",,,"1_1","0_0"
"200068278","CC Berry Loire Puisaye",,,,"0_0"
"200068294","CC des Deux Vallées Vertes",,"0_1",,
"200068369","CC de Mirecourt Dompaire",,,,"1_1"
"200068377","CC de la Porte des Vosges Méridionales",,,,
"200068435","CC Coeur du Perche",,"1_1",,
"200068443","CC Andaine - Passais",,,"1_1","0_0"
"200068450","CC Argentan Intercom",,,,
"200068468","CC des Pays de l'Aigle",,,"1_1",
"200068484","CC des Causses à l'Aubrac",,,"1_1","0_0"
"200068500","CA de Cambrai",,,,
"200068534","CC Terroir de Caux",,,,"0_1"
"200068542","CC Les Balcons du Dauphiné",,,,
"200068559","CC de l'Ouest Vosgien",,,,
"200068567","CC Les Vals du Dauphiné",,,"0_0",
"200068625","CC Alpes-Provence-Verdon ""sources de Lumière""",,"0_0","1_1",
"200068641","CA Le Muretain Agglo",,,,"0_1"
"200068658","CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",,,,
"200068666","CA de Saint-Dizier Der et Blaise",,,,
"200068674","CA Grand Lac - CA du Lac du Bourget",,,,
"200068682","CC Terre d'Eau","0_0","1_1",,
"200068757","CA d'Épinal",,,,"0_1"
"200068765","CC du Sisteronais-Buëch",,"1_0",,"0_0"
"200068773","CC des Vosges Côté Sud Ouest",,,"1_1","0_0"
"200068781","CA Valence Romans Agglo",,,,
"200068799","CC Intercom de la Vire au Noireau",,,,
"200068807","CC Lèze Ariège","0_1","1_0","1_0","0_1"
"200068815","CC Coeur de Garonne","1_1",,,
"200068831","CC Pays Ségali","1_0","1_0","0_1","0_0"
"200068856","CC des Hauts du Perche","1_0",,,"0_0"
"200068864","CC de la Mossig et du Vignoble",,,,
"200068872","CC Éguzon - Argenton - Vallée de la Creuse","0_0",,"1_1","0_0"
"200068880","CC Champagne Boischauts",,,,
"200068914","CC La Rochefoucauld - Porte du Périgord",,,"1_1","0_0"
"200068922","CC du Confluent et des Coteaux de Prayssas",,"1_1",,
"200068930","CC Fumel Vallée du Lot",,,,
"200068948","CC Albret Communauté",,,,
"200068955","CC Anjou Loir et Sarthe",,,,
"200068963","CC Maine Coeur de Sarthe",,,"0_0","0_1"
"200068989","CA Dinan Agglomération",,,,"0_0"
"200068997","CA Arlysère",,,,
"200069003","CC du Barséquanais en Champagne","1_0",,,"0_0"
"200069029","CA des Deux Baies en Montreuillois",,,,
"200069037","CA du Pays de Saint-Omer",,,,
"200069052","CA Grand Belfort",,,,"1_1"
